level,action_type,message,timestamp,actor_id,subject_id,ip_address,user_agent
INFO,SYSTEM_EXPORT,"Starting logs export to CSV: export.csv",2025-10-08 10:42:53.452387,,,,
DEBUG,USER_UPDATED,"Updated last login timestamp for user: admin@sys.local",2025-10-08 10:41:39.089422,8725913d-cf95-4be5-ae0b-bb8524411a3c,,192.168.1.100,CLI Client
INFO,SYSTEM_LOGIN,"User login successful: admin@sys.local",2025-10-08 10:41:39.083062,8725913d-cf95-4be5-ae0b-bb8524411a3c,,192.168.1.100,CLI Client
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 10:40:45.973999,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 10:40:45.972191,,,,
DEBUG,ROLE_CREATED,"Creating system roles",2025-10-08 10:40:45.969612,,,,
INFO,SYSTEM_STARTUP,"Starting system initialization",2025-10-08 10:40:45.956781,,,,
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 10:40:36.474031,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 10:40:36.472006,,,,
DEBUG,ROLE_CREATED,"Creating system roles",2025-10-08 10:40:36.468469,,,,
INFO,SYSTEM_STARTUP,"Starting system initialization",2025-10-08 10:40:36.443007,,,,
INFO,SYSTEM_EXPORT,"Data export completed successfully: export.csv",2025-10-08 10:30:53.230222,,,,
INFO,SYSTEM_EXPORT,"Starting data export to: export.csv",2025-10-08 10:30:53.226039,,,,
INFO,SYSTEM_EXPORT,"Logs export completed successfully: export.csv",2025-10-08 10:30:12.503318,,,,
INFO,SYSTEM_EXPORT,"Starting logs export to CSV: export.csv",2025-10-08 10:30:12.499781,,,,
INFO,SYSTEM_EXPORT,"Data export completed successfully: export.csv",2025-10-08 10:30:01.809625,,,,
INFO,SYSTEM_EXPORT,"Starting data export to: export.csv",2025-10-08 10:30:01.804721,,,,
DEBUG,USER_UPDATED,"Updated last login timestamp for user: admin@sys.local",2025-10-08 10:29:49.692461,8725913d-cf95-4be5-ae0b-bb8524411a3c,,192.168.1.100,CLI Client
INFO,SYSTEM_LOGIN,"User login successful: admin@sys.local",2025-10-08 10:29:49.687045,8725913d-cf95-4be5-ae0b-bb8524411a3c,,192.168.1.100,CLI Client
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 10:29:37.017467,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 10:29:37.015603,,,,
DEBUG,ROLE_CREATED,"Creating system roles",2025-10-08 10:29:37.013325,,,,
INFO,SYSTEM_STARTUP,"Starting system initialization",2025-10-08 10:29:37.002767,,,,
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 10:29:08.040595,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 10:29:08.035188,,,,
DEBUG,ROLE_CREATED,"Creating system roles",2025-10-08 10:29:08.029103,,,,
INFO,SYSTEM_STARTUP,"Starting system initialization",2025-10-08 10:29:08.012122,,,,
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 10:11:26.78775,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 10:11:26.784797,,,,
DEBUG,ROLE_CREATED,"Creating system roles",2025-10-08 10:11:26.78064,,,,
INFO,SYSTEM_STARTUP,"Starting system initialization",2025-10-08 10:11:26.766886,,,,
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 10:03:23.433914,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 10:03:23.431578,,,,
DEBUG,ROLE_CREATED,"Creating system roles",2025-10-08 10:03:23.428188,,,,
INFO,SYSTEM_STARTUP,"Starting system initialization",2025-10-08 10:03:23.411407,,,,
INFO,SYSTEM_EXPORT,"Data export completed successfully: /app/exports/a.csv",2025-10-08 09:59:04.237889,,,,
INFO,SYSTEM_EXPORT,"Starting data export to: /app/exports/a.csv",2025-10-08 09:59:04.233805,,,,
DEBUG,USER_UPDATED,"Updated last login timestamp for user: admin@sys.local",2025-10-08 09:56:36.903829,8725913d-cf95-4be5-ae0b-bb8524411a3c,,192.168.1.100,CLI Client
INFO,SYSTEM_LOGIN,"User login successful: admin@sys.local",2025-10-08 09:56:36.897144,8725913d-cf95-4be5-ae0b-bb8524411a3c,,192.168.1.100,CLI Client
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 09:56:11.700048,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 09:56:11.698169,,,,
DEBUG,ROLE_CREATED,"Creating system roles",2025-10-08 09:56:11.695765,,,,
INFO,SYSTEM_STARTUP,"Starting system initialization",2025-10-08 09:56:11.682413,,,,
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 09:56:02.69861,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 09:56:02.696842,,,,
DEBUG,ROLE_CREATED,"Creating system roles",2025-10-08 09:56:02.693163,,,,
INFO,SYSTEM_STARTUP,"Starting system initialization",2025-10-08 09:56:02.670245,,,,
INFO,SYSTEM_EXPORT,"Data export completed successfully: /app/data_exports/a.csv",2025-10-08 09:52:38.82994,,,,
INFO,SYSTEM_EXPORT,"Starting data export to: /app/data_exports/a.csv",2025-10-08 09:52:38.826316,,,,
INFO,SYSTEM_EXPORT,"Data export completed successfully: /app/data_exports/a.csv",2025-10-08 09:52:21.420565,,,,
INFO,SYSTEM_EXPORT,"Starting data export to: /app/data_exports/a.csv",2025-10-08 09:52:21.417602,,,,
INFO,SYSTEM_EXPORT,"Data export completed successfully: export.csv",2025-10-08 09:50:20.189709,,,,
INFO,SYSTEM_EXPORT,"Starting data export to: export.csv",2025-10-08 09:50:20.186831,,,,
DEBUG,USER_UPDATED,"Updated last login timestamp for user: admin@sys.local",2025-10-08 09:50:12.074803,8725913d-cf95-4be5-ae0b-bb8524411a3c,,192.168.1.100,CLI Client
INFO,SYSTEM_LOGIN,"User login successful: admin@sys.local",2025-10-08 09:50:12.071014,8725913d-cf95-4be5-ae0b-bb8524411a3c,,192.168.1.100,CLI Client
INFO,SYSTEM_STARTUP,"System initialization completed successfully",2025-10-08 09:49:52.317575,,,,
DEBUG,USER_CREATED,"System administrator already exists",2025-10-08 09:49:52.315944,,,,
